x1L,y1L,x2L,y2L,x1R,y1R,x2R,y2R,g1
152,349,421,0,1424,349,858,0,0.004566940312636
156,349,422,0,1382,349,844,0,-0.004026692969037
155,349,433,0,1468,349,876,0,0.000544909153881
151,349,432,0,1479,349,886,0,0.000544909153881
158,349,430,0,1418,349,866,0,0.009609085742935
155,349,437,0,1386,349,850,0,-0.000967322685631
153,349,434,0,1397,349,855,0,-0.000967322685631
150,349,437,0,1418,349,861,0,0.001866044825905
155,349,435,0,1394,349,844,0,0.000721772458539
155,349,435,0,1398,349,847,0,0.000721772458539
160,349,443,0,1414,349,846,0,-0.006588268604163
160,349,446,0,1409,349,855,0,-0.006588268604163
155,349,435,0,1382,349,839,0,-0.006001888941045
153,349,436,0,1434,349,862,0,0.005989106095917
158,349,434,0,1386,349,841,0,0.005989106095917
146,349,432,0,1396,349,843,0,0.015505337021231
152,349,435,0,1394,349,845,0,-0.003768670617668
147,349,431,0,1410,349,856,0,-0.003768670617668
147,349,432,0,1423,349,861,0,0.001651409383261
291,349,619,0,1394,349,845,0,-0.00565805100641
143,349,429,0,1395,349,851,0,-0.006564846209519
146,349,427,0,1393,349,854,0,-0.004766496937591
139,349,429,0,1399,349,848,0,-0.004817060512289
142,349,431,0,1398,349,860,0,-0.004817060512289
148,349,428,0,1388,349,843,0,0.009854730192677
143,349,428,0,1383,349,846,0,0.003368049843602
138,349,424,0,1386,349,855,0,0.00282066412975
137,349,425,0,1421,349,866,0,0.00282066412975
140,349,426,0,1406,349,870,0,0.005194703177423
137,349,430,0,1366,349,841,0,-0.001140849789698
131,349,431,0,1388,349,864,0,-0.002547697398884
140,349,428,0,1382,349,855,0,-0.002328333592921
137,349,422,0,1445,349,873,0,-0.002899650218241
139,349,419,0,1399,349,861,0,-0.002482329440418
134,349,419,0,1371,349,835,0,-0.003129490065856
132,349,418,0,1390,349,839,0,0.001250126549271
131,349,413,0,1391,349,832,0,0.004030217408997
130,349,413,0,1291,349,768,0,0.00475655699337
129,349,412,0,1301,349,773,0,0.00475655699337
139,349,403,0,1320,349,772,0,0.006458045428656
131,349,397,0,1403,349,802,0,0.007168581129464
138,349,396,0,1334,349,713,0,0.01190373824356
135,349,385,0,1330,349,726,0,0.021931259371539
160,349,362,0,1276,349,709,0,0.020756546169992
172,349,347,0,1293,349,666,0,0.020756546169992
159,349,351,0,1190,349,633,0,0.041407711509054
151,349,352,0,1190,349,598,0,0.027374270562147
146,349,338,0,1201,349,592,0,-0.023193668980508
143,349,339,0,1146,349,549,0,0.034955653474019
135,349,350,0,1127,349,523,0,0.050618626878465
151,349,279,0,1174,349,510,0,0.050618626878465
151,349,261,0,1240,349,526,0,0.029876482003917
149,349,255,0,1118,349,405,0,0.016868684389824
134,349,250,0,1063,349,396,0,0.016868684389824
120,349,226,0,1080,349,392,0,0.023624465418831
120,349,211,0,942,349,342,0,0.033447509042295
93,349,208,0,968,349,375,0,0.033447509042295
72,349,125,0,1178,349,371,0,0.01517265404085
70,349,99,0,1066,349,352,0,0.077513160953094
24,349,91,0,1173,349,395,0,-0.008333200827258
4,349,84,0,1198,349,383,0,-0.016069566564755
0,0,0,0,1338,349,384,0,0.02663295359032
0,0,0,0,1344,349,378,0,0.194339923890647
0,0,0,0,1332,349,342,0,0.121385892834314
0,0,0,0,1252,349,349,0,0.16866288580416
0,0,0,0,1239,349,332,0,0.149028780476407
0,0,0,0,1259,349,306,0,0.149028780476407
0,0,0,0,1221,349,291,0,0.187518519500778
0,0,0,0,1239,349,302,0,0.157339576055539
0,0,0,0,1163,349,279,0,0.158183523997805
0,0,0,0,1181,349,252,0,0.175382532771078
0,0,0,0,1239,349,201,0,0.175382532771078
0,0,0,0,1172,349,199,0,0.186909927915755
0,0,0,0,1119,349,205,0,0.167655642880351
0,0,0,0,1193,349,179,0,0.176092054999736
0,0,0,0,1146,349,175,0,0.185427394854359
0,0,0,0,1126,349,195,0,0.185427394854359
0,0,0,0,1130,349,175,0,0.182278155144194
0,0,0,0,1091,349,190,0,0.211736472414544
0,0,0,0,1132,349,183,0,0.211736472414544
0,0,0,0,1033,349,214,0,0.20850723095141
0,0,0,0,1095,349,197,0,0.19463975945867
0,0,0,0,1070,349,225,0,0.19463975945867
0,0,0,0,1116,349,190,0,0.197995427238903
0,0,0,0,1099,349,216,0,0.190068070941481
0,0,0,0,1074,349,231,0,0.210334958203274
0,0,0,0,1255,349,177,0,0.210334958203274
0,0,0,0,1163,349,218,0,0.193810728304096
0,0,0,0,1119,349,276,0,0.17270595164835
0,0,0,0,1071,349,284,0,0.17270595164835
0,0,0,0,1086,349,249,0,0.182832968431863
0,0,0,0,1104,349,282,0,0.175849581676434
0,0,0,0,1128,349,313,0,0.19048856588988
0,0,0,0,1100,349,299,0,0.17499026255629
