x1L,y1L,x2L,y2L,x1R,y1R,x2R,y2R,g1,g2,g3
122,349,427,0,1383,349,858,0,-0.001473230091241,0.001473230091241,-1.473230091241
121,349,426,0,1366,349,865,0,-0.001527767651249,0.001527767651249,-1.527767651249
123,349,426,0,1388,349,871,0,-0.001527767651249,0.001527767651249,-1.527767651249
124,349,425,0,1392,349,870,0,-0.001527767651249,0.001527767651249,-1.527767651249
121,349,427,0,1350,349,851,0,-0.001489726554023,0.001489726554023,-1.489726554023
128,349,423,0,1366,349,857,0,-0.001069189278166,0.001069189278166,-1.069189278166
118,349,423,0,1406,349,876,0,0.000312622857675,-0.000312622857675,0.312622857675
119,349,420,0,1391,349,870,0,0.000108144529138,-0.000108144529138,0.108144529138
124,349,421,0,1389,349,867,0,0.000826349447889,-0.000826349447889,0.826349447889
127,349,426,0,1391,349,876,0,0.000826349447889,-0.000826349447889,0.826349447889
121,349,426,0,1432,349,880,0,0.001029121999497,-0.001029121999497,1.029121999497
121,349,425,0,1388,349,868,0,0.001029121999497,-0.001029121999497,1.029121999497
120,349,425,0,1389,349,868,0,0.000757515049148,-0.000757515049148,0.757515049148
120,349,425,0,1377,349,870,0,-0.000426056066944,0.000426056066944,-0.426056066944
121,349,424,0,1370,349,860,0,-0.00030358011409,0.00030358011409,-0.30358011409
117,349,427,0,1435,349,884,0,-0.00030358011409,0.00030358011409,-0.30358011409
119,349,422,0,1395,349,872,0,-0.000268662722766,0.000268662722766,-0.268662722766
121,349,422,0,1394,349,875,0,0.000708315348704,-0.000708315348704,0.708315348704
120,349,425,0,1382,349,871,0,0.00013047159111,-0.00013047159111,0.13047159111
124,349,421,0,1371,349,863,0,-1.52557539474896E-05,1.52557539474896E-05,-0.01525575394749
122,349,427,0,1383,349,872,0,-0.000739504437323,0.000739504437323,-0.739504437323
127,349,424,0,1448,349,886,0,-0.000739504437323,0.000739504437323,-0.739504437323
121,349,427,0,1398,349,885,0,-0.000861208184623,0.000861208184623,-0.861208184623
115,349,427,0,1385,349,869,0,0.000470352440277,-0.000470352440277,0.470352440277
120,349,424,0,1384,349,873,0,0.00816018596096,-0.00816018596096,8.16018596096
122,349,424,0,1393,349,872,0,-2.60009028138038E-05,2.60009028138038E-05,-0.026000902813804
120,349,423,0,1391,349,874,0,0.000484784945913,-0.000484784945913,0.484784945913
126,349,411,0,1385,349,876,0,-0.000766379693609,0.000766379693609,-0.766379693609
116,349,427,0,1386,349,867,0,-4.28382530455297E-06,4.28382530455297E-06,-0.004283825304553
122,349,425,0,1403,349,877,0,-4.28382530455297E-06,4.28382530455297E-06,-0.004283825304553
129,349,428,0,1384,349,872,0,-0.000460313890618,0.000460313890618,-0.460313890618
124,349,429,0,1391,349,869,0,-0.000460313890618,0.000460313890618,-0.460313890618
120,349,425,0,1372,349,859,0,0.008291863646271,-0.008291863646271,8.291863646271
127,349,426,0,1433,349,889,0,-0.000304936741931,0.000304936741931,-0.304936741931
123,349,426,0,1368,349,860,0,0.004524594165532,-0.004524594165532,4.524594165532
119,349,425,0,1391,349,871,0,0.000735934698762,-0.000735934698762,0.735934698762
121,349,427,0,1388,349,871,0,0.002889609387061,-0.002889609387061,2.889609387061
122,349,426,0,1403,349,864,0,0.000507093970899,-0.000507093970899,0.507093970899
124,349,429,0,1425,349,869,0,0.000507093970899,-0.000507093970899,0.507093970899
123,349,427,0,1388,349,848,0,0.012005716540526,-0.012005716540526,12.005716540526
125,349,426,0,1385,349,850,0,-0.000585930281524,0.000585930281524,-0.585930281524
128,349,428,0,1387,349,842,0,-0.003246672650244,0.003246672650244,-3.246672650244
141,349,424,0,1372,349,835,0,-0.003246672650244,0.003246672650244,-3.246672650244
146,349,423,0,1429,349,843,0,-0.001997888777729,0.001997888777729,-1.997888777729
139,349,424,0,1359,349,809,0,-0.001997888777729,0.001997888777729,-1.997888777729
132,349,426,0,1311,349,784,0,0.006082464633517,-0.006082464633517,6.082464633517
142,349,419,0,1329,349,788,0,0.006082464633517,-0.006082464633517,6.082464633517
137,349,413,0,1370,349,746,0,0.024132748716971,-0.024132748716971,24.132748716971
139,349,408,0,1310,349,734,0,0.024132748716971,-0.024132748716971,24.132748716971
147,349,395,0,1337,349,755,0,0.034445957007005,-0.034445957007005,34.445957007005
160,349,379,0,1404,349,692,0,0.003666566706151,-0.003666566706151,3.666566706151
183,349,362,0,1485,349,672,0,0.010613890759129,-0.010613890759129,10.613890759129
183,349,359,0,1414,349,649,0,0.010613890759129,-0.010613890759129,10.613890759129
167,349,367,0,1372,349,588,0,0.032960883975186,-0.032960883975186,32.960883975186
161,349,362,0,1344,349,551,0,0.032960883975186,-0.032960883975186,32.960883975186
164,349,362,0,1493,349,570,0,0.05951099298703,-0.05951099298703,59.51099298703
163,349,344,0,1369,349,546,0,0.05951099298703,-0.05951099298703,59.51099298703
174,349,305,0,1382,349,531,0,0.061105394444936,-0.061105394444936,61.105394444936
176,349,273,0,1378,349,497,0,0.061105394444936,-0.061105394444936,61.105394444936
177,349,278,0,1419,349,524,0,0.008078947683999,-0.008078947683999,8.078947683999
166,349,272,0,1371,349,478,0,0.008078947683999,-0.008078947683999,8.078947683999
161,349,255,0,1336,349,507,0,0.051468674334603,-0.051468674334603,51.468674334603
148,349,234,0,1290,349,472,0,0.051468674334603,-0.051468674334603,51.468674334603
127,349,227,0,1248,349,418,0,-4.13981940932846E-05,4.13981940932846E-05,-0.041398194093285
108,349,179,0,1220,349,434,0,0.000630445540047,-0.000630445540047,0.630445540047
94,349,153,0,1220,349,418,0,0.029520526170474,-0.029520526170474,29.520526170474
71,349,122,0,1233,349,399,0,-0.082916520392679,0.082916520392679,-82.916520392679
37,349,111,0,1193,349,354,0,-0.032291997219555,0.032291997219555,-32.291997219555
19,349,105,0,1143,349,363,0,0.123225950884366,-0.123225950884366,123.225950884366
0,0,0,0,1178,349,395,0,0.123225950884366,-0.123225950884366,123.225950884366
0,0,0,0,1177,349,296,0,0.179027911053394,-0.179027911053394,179.027911053394
0,0,0,0,1112,349,333,0,0.179027911053394,-0.179027911053394,179.027911053394
0,0,0,0,1087,349,323,0,0.193089904790228,-0.193089904790228,193.089904790228
